campaign,case_id,case_kind,fault_id,coordinate,baseline_detected,strict_independent_baseline_detected,baseline_caught_detectors,baseline_first_detector,baseline_first_stage,baseline_first_scope,forkaudit_detected,forkaudit_first_predicate,forkaudit_first_stage,forkaudit_first_scope,catch_relation,execution_relationship
historical_alias_r35,historical/rank-0/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,archived/rank-0,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-0/materialized_control,clean,,archived/rank-0,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-0/repaired_borrowed,clean,,archived/rank-0,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-1/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,archived/rank-1,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-1/materialized_control,clean,,archived/rank-1,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-1/repaired_borrowed,clean,,archived/rank-1,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-2/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,archived/rank-2,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-2/materialized_control,clean,,archived/rank-2,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-2/repaired_borrowed,clean,,archived/rank-2,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-3/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,additional_frozen_input/rank-3,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-3/materialized_control,clean,,additional_frozen_input/rank-3,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-3/repaired_borrowed,clean,,additional_frozen_input/rank-3,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-4/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,additional_frozen_input/rank-4,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-4/materialized_control,clean,,additional_frozen_input/rank-4,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-4/repaired_borrowed,clean,,additional_frozen_input/rank-4,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-5/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,additional_frozen_input/rank-5,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-5/materialized_control,clean,,additional_frozen_input/rank-5,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-5/repaired_borrowed,clean,,additional_frozen_input/rank-5,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-6/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,additional_frozen_input/rank-6,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-6/materialized_control,clean,,additional_frozen_input/rank-6,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-6/repaired_borrowed,clean,,additional_frozen_input/rank-6,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-7/historical_pre_fix,fault,HISTORICAL_GDN_CONV_ALIAS,additional_frozen_input/rank-7,true,true,B5_PERSISTENT_BASE_IMMUTABILITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,completed request versus base/peer intervals,true,gdn_completed_binding_rebound,post_transition_state,gdn_phase_storage_snapshot_and_pointer_free_replay / gdn_completed_binding_rebound,redundant_both,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-7/materialized_control,clean,,additional_frozen_input/rank-7,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
historical_alias_r35,historical/rank-7/repaired_borrowed,clean,,additional_frozen_input/rank-7,false,false,,,,,false,,,,clean_pass,same R35 lane/capture; output and persistent-base observers are explicit baseline comparisons; alias check is recomputed
primary_m1_m9,primary/M1/clean,clean,M1,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M1/fault,fault,M1,,true,false,B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,pre_model_validation,plain write-ready alias/overlap assertion,true,KV_RESERVATION_DISJOINT,pre_model_validation,request reservation/constructor binding,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M2/clean,clean,M2,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M2/fault,fault,M2,,true,false,B4_STRUCTURAL_SEQUENCE_ARGUMENT,B4_STRUCTURAL_SEQUENCE_ARGUMENT,dispatch_or_transition,plain structural/sequence assertion,true,KV_SEQUENCE_ID,dispatch_or_transition,request sequence binding,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M3/clean,clean,M3,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M3/fault,fault,M3,,true,false,B7_BASIC_LIFECYCLE_CARDINALITY,B7_BASIC_LIFECYCLE_CARDINALITY,dispatch_or_transition,plain tail/lifecycle assertion,true,KV_TAIL_COW,dispatch_or_transition,tail detach before append,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M4/clean,clean,M4,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M4/fault,fault,M4,,true,false,B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,plain write-ready alias/overlap assertion,true,gdn_completed_vs_base_disjoint,post_transition_state,completed request versus persistent base,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M5/clean,clean,M5,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M5/fault,fault,M5,,true,true,B3_FULL_LOGIT_EQUALITY;B6_SIMPLE_ALIAS_OVERLAP,B6_SIMPLE_ALIAS_OVERLAP,post_transition_state,plain write-ready alias/overlap assertion,true,gdn_completed_vs_peers_disjoint,post_transition_state,completed request versus peer,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M6/clean,clean,M6,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M6/fault,fault,M6,,true,false,B4_STRUCTURAL_SEQUENCE_ARGUMENT,B4_STRUCTURAL_SEQUENCE_ARGUMENT,dispatch_or_transition,plain structural/sequence assertion,true,POSITION_CANONICAL_VALUES,dispatch_or_transition,post-RoPE position values,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M7/clean,clean,M7,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M7/fault,fault,M7,,true,false,B4_STRUCTURAL_SEQUENCE_ARGUMENT,B4_STRUCTURAL_SEQUENCE_ARGUMENT,dispatch_or_transition,plain structural/sequence assertion,true,MASK_CONTRACT,dispatch_or_transition,attention mask contract,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M8/clean,clean,M8,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M8/fault,fault,M8,,false,false,,,,,true,KERNEL_CALLABLE_ID,dispatch_or_transition,attention callable identity,forkaudit_unique,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M9/clean,clean,M9,,false,false,,,,,false,,,,clean_pass,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
primary_m1_m9,primary/M9/fault,fault,M9,,true,true,B1_RUNTIME_ASSERTION,B1_RUNTIME_ASSERTION,dispatch_or_transition,production assertion/runtime,true,KV_PAGED_VIEW,dispatch_or_transition,paged-view representation,redundant_both,separate executions: conventional observers/projected checks use R28 target-suppression; ForkAudit uses RR2 all-gates-on
