method_id	method_statement	source_path	symbol_or_lines	configuration_or_runtime	manuscript_locations
M-RR2-ORACLE-PRODUCER	Selected full-attention calls capture physical document pages and ordered append shadows under the recorded mask, positions, and scale.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_forkaudit_review_revision.py	_write_live_oracle_artifact; _oracle_selection_preregistration	8 pre-specified rows; captured post-RoPE inputs	Secs. 4.3--5.4 [label:sec:protocol]; Appendix H/Table [label:tab:oracle-selection]
M-RR2-ORACLE-REPLAY	The offline replay independently reconstructs selected calls and evaluates dense IEEE-FP32 attention.	evidence/round_04_rr2_package/replay/replay_rr2.py	recompute_oracle; validate_oracles	8 pre-specified rows; tolerance=0.005	Secs. 4.3--5.4 [label:sec:protocol]; Appendix H/Table [label:tab:oracle-selection]
M-RR2-MUTANT-SPECS	Each live fault has a fixed target, injection, restoration, and expected detector gate.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_forkaudit_mutants.py	get_mutant_spec; validate_target_mutation_binding	9 targeted fault classes at N=2	Secs. 4.5 and 5.5; Appendix F/Tables [label:app:invariants]
M-RR2-MUTANT-RUNNER	Each live fault uses a separately rebuilt matched-clean exercise and fresh injected cell with allocator cleanup.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_forkaudit_review_revision.py	_run_live_fault_campaign; _validate_fault_campaign	9 targeted fault classes at N=2	Secs. 4.5 and 5.5; Appendix F/Tables [label:tab:rr2-mutants]
M-RR2-REPLAY-ENTRY	The one-command entry verifies package bindings before invoking offline reconstruction.	evidence/round_04_rr2_package/replay/run_replay.sh	offline replay entrypoint	536 raw artifacts; no GPU/network	Reproducibility Statement; Appendix J artifact map [label:app:artifact]
M-RR2-REPLAY	The anonymous package reconstructs factorial, adjacent-fan-out, timeline, oracle, mutation, and memory outputs without trusting aggregate pass fields.	evidence/round_04_rr2_package/replay/replay_rr2.py	replay	536 raw artifacts; 96 cells; 288 adjacent-fan-out comparisons; 9 storage adversaries plus 2 cross-N control/tamper tests; no GPU/network	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-RR4-LIFECYCLE-PROTOCOL	The transfer cohort freezes an aligned prefix and a cancel, scrub, reclaim, and stale-lease event sequence before execution.	evidence/lifecycle_transfer_reviewer_package/artifacts/frozen-inputs/static-manifest.json	frozen lifecycle protocol	4096-token aligned prefix; N=4; cancel slots 2 and 3 after round 2	Secs. 4.1 and 5.5; Appendix H/Table [label:tab:lifecycle-transfer]
M-RR4-LIFECYCLE-VALIDATION	The manifest-first raw-first validator reconstructs artifact bindings, exact uninterrupted-control hash/state comparisons, lease epochs, zero-scrub, exact reassignment, and stale-handle outcomes from all eight raw shards, then rejects four tamper regressions.	evidence/lifecycle_transfer_reviewer_package/replay/validate_lifecycle.py	validate_package_manifest; validate_raw_ledger; validate_shard; self_test	8 H20 ranks; 8 PG-19 train books; four tamper cases; aggregate SHA 4d0a3b0a44f125a1c18e2c0e6f9644843585fdc34244a6fbf20ad58a84cb760d	Sec. 5.5; Appendix H/Table [label:tab:lifecycle-transfer]; Reproducibility Statement
M-R6-GDN-ORACLE-CAPTURE	The fully preregistered oracle captures four query-time GDN transitions at the post-native-q/k-normalization recurrent boundary under a source-pinned final preregistration.	evidence/gdn_transition_oracle_preregistered_20260819d/executed_source/run_qcomem_qwen35_gdn_transition_oracle_preregistered.py	validate_final_preregistration; _capture_reference_qk_inputs; NativeGDNKernelCapture	layers 0,10,20,38; one frozen PG-19 window; four query tokens; query_scale=1/sqrt(128)	Secs. 3--5 [label:sec:contract]; Appendix H/Tables [labels:tab:oracle-selection,tab:gdn-oracle]
M-R6-GDN-ORACLE-REFERENCE	A candidate-import-free NumPy FP32 token recurrence reconstructs clean outputs/final states and four seeded wrong transitions from the frozen post-native-normalization inputs.	evidence/gdn_transition_oracle_preregistered_20260819d/executed_source/qcomem_gdn_transition_oracle_reference_preregistered.py	recurrent_transition; evaluate_capture	output tolerance 0.005; state tolerance 0.0001; four preregistered faults	Sec. 5.5; Appendix H/Table [label:tab:gdn-oracle]; Reproducibility Statement
M-R6-GDN-ORACLE-VALIDATION	The executed aggregate command verifies the immutable execution-to-preregistration binding and recomputes four clean and four fault decisions from 40 numerical sidecars.	evidence/gdn_transition_oracle_preregistered_20260819d/executed_source/run_qcomem_qwen35_gdn_transition_oracle_preregistered.py	aggregate; main	40 numerical sidecars; exact preregistration/source bindings; bounded FP32 deltas	Sec. 5.5; Appendix H/Table [label:tab:gdn-oracle]; Reproducibility Statement
M-MAC-CONTROL-DERIVATION	The Mac motivation table hashes five frozen fresh-process MLX results and recomputes vanilla-dense, BF16-split, Q8, and Q4 medians at split depth 7.	scripts/generate_cross_hardware_tables.py	main; sha256; median	5 processes x 6 queries; Apple M4 Pro; scope-separated archival motivation only	Sec. 5 [label:sec:results]; Table [label:tab:mac-motivation]; Reproducibility Statement
M-H20-DEPLOYMENT-DERIVATION	The H20 context table verifies the frozen deployment summary, eight raw-shard hashes, eight-GPU inventory, and external HYPIC Store acceptance before extracting six displayed same-stack state/timing/throughput/F1 rows and two receipt-derived HYPIC Store rows.	scripts/generate_h20_deployment_table.py	main; sha256; require; format_mib	8 H20-3e ranks; 8 Qasper/2WikiMQA workloads; 6 displayed in-process configurations with 24 timing measurements each; separate 24 HYPIC timing/quality cells and 16 HYPIC Store cells	Sec. 5 [label:sec:results]; Table [label:tab:h20-deployment]; Reproducibility Statement
M-RW-SERVING-DERIVATION	The serving-panel generator verifies the frozen vLLM and SGLang aggregate SHA-256 values before extracting within-framework cache-off/on F1, TTFT, TPOT, throughput, cache-hit, and prediction-exactness rows.	scripts/generate_related_serving_table.py	sha256; load; main	Two independent 16-shard runs; 8 H20-3e ranks and 8 Qasper/2WikiMQA workloads per framework	Sec. 5.2 [label:sec:results]; Appendix H/Table [labels:app:controls,tab:serving-controls]; Reproducibility Statement
M-RW-VLLM-REPLAY	The vLLM reviewer replay verifies the artifact ledger, raw shards, rank/workload coverage, independent GPU UUIDs, cache-hit counters, cache-off/on predictions, and recomputed aggregate.	evidence/related_work_same_protocol/validate_vllm_prefix_result.py	replay; main	16 raw shards; 66 artifact-ledger entries; 8 H20-3e UUIDs	Sec. 5.2 [label:sec:results]; Appendix H/Table [labels:app:controls,tab:serving-controls]; Reproducibility Statement
M-RW-SGLANG-REPLAY	The SGLang reviewer replay verifies the package manifest, raw and auxiliary artifact ledgers, exact rank/workload coverage, independent GPU UUIDs, cache-hit counters, cache-off/on predictions, and recomputed aggregate.	evidence/related_work_same_protocol/related-sglang-radix-node-20260821c/validate.py	sha256; canonical_bytes	16 raw shards; 80 artifact-ledger entries; 8 H20-3e UUIDs	Sec. 5.2 [label:sec:results]; Appendix H/Table [labels:app:controls,tab:serving-controls]; Reproducibility Statement
M-R6-TRANSFER-STORAGE	The source-bound Transformers DynamicCache adapter emits normalized storage inventories and replays non-vacuous ownership/disjointness predicates without importing the primary vLLM ownership helpers.	evidence/round6_a4_transformers_transfer_20260819b/executed_source/qcomem_transformers_forkaudit_transfer.py	storage_inventory; _validate_inventory; aggregate_shards	8 ranks; N=1,2; same checkpoint; tail target not applicable	N/A
M-R6-TRANSFER-EXECUTION	The source-bound transfer runner records CPU-FP32 logit sidecars, adapter calls, allocator context, clean comparisons, and five preregistered fault cases per rank.	evidence/round6_a4_transformers_transfer_20260819b/executed_source/run_qcomem_transformers_forkaudit_transfer.py	LogitBundleBuilder; _fault_suite; aggregate	8 H20-3e ranks; 40 fault cases; Transformers DynamicCache	N/A
M-R6-TRANSFER-AGGREGATE	The reviewer replay verifies 31 bound inputs, reruns the exact source aggregate over eight raw shards and sidecars, and preserves the valid-negative classification under bounded portable FP32 reductions.	evidence/round6_a4_transformers_transfer_20260819b/replay.py	verify_inputs; replay; self_test	status full/full/full/N.A./partial/full/full; 24 expected, 16 clean false positives, 0 wrong, 0 escaped	N/A
M-RR4-DETECTOR-DEBUG	The historical nonformal scoped debug suppressed the named M8/M9 gate only on mutant paths and recorded downstream first failure plus matched-control full-vocabulary sidecars.	evidence/rr4_detector_matrix/debug_attempt_d/two-fault-local-comparison.json	historical debug only	superseded by the full R28 matrix; not used for a current paper result	Not cited in the current manuscript
M-R28-DETECTOR-PREREG	The pre-execution plan freezes all 18 clean/target-suppressed cases, rank assignment, target contracts and gates, classification precedence, semantic horizons, allowlisted production assertions, the non-detector M8 payload sentinel, fixed-stack inputs, and source hashes before candidate outputs.	evidence/r28_full_detector_matrix/formal_run_20260824a/preregistration/detector-matrix-v2-plan.json	assignment; classification_precedence; comparison_definitions; expected_gate_ids; policies; source_binding	preregistration SHA 5e23539499ad672661921f7b2967be183acb1caa791876655ecf91e4a51ea9de; 8 ranks; 8 distinct H20 UUIDs required	Secs. 4--7 [labels:sec:protocol,sec:results,sec:limitations]; Table [label:tab:first-gate-localization]; Appendix H [label:app:controls]
M-R28-DETECTOR-LAUNCH	The hash-gated launcher verifies code, imported RR2 source, model, data, configuration, and external-pin bindings; writes the preregistration before candidate output; requires eight distinct H20 UUIDs; executes all ranks; and writes a complete raw-artifact ledger before aggregation.	evidence/r28_full_detector_matrix/executed_source/launch_qcomem_qwen35_forkaudit_detector_matrix_v2_8gpu.sh	preflight SHA gates; preregister; GPU inventory; rank launch; raw-artifacts.sha256	launcher SHA 5b2f49b228160562a805e90c00414a7ec196d6950b4bc3573d27efb332c867b9; 18 cases; 32 raw-ledger entries	Reproducibility Statement; Appendix H and J [labels:app:controls,app:artifact]
M-R28-DETECTOR-SOURCE-LEDGER	The frozen R28 source ledger binds the builder, launcher, external pin, selective-gate policy, replay, runner, scope supersession, and unit test used by the candidate execution.	evidence/r28_full_detector_matrix/source-code.sha256	8 SHA-256 entries	source-ledger SHA ed3850cfabbf0d8e9480c134e4740f1a93495c9c5105e180ab35abf55654968b	Reproducibility Statement; Appendix J [label:app:artifact]
M-R28-DETECTOR-MATRIX	The preregistered runner executes a fresh clean path and a target-gate-suppressed path for each M1--M9 fault, persists canonical FP32 logits before subsequent stages, and classifies another audit gate, exact allowlisted assertion, exact M8 payload sentinel, unallowlisted crash, or completed token/logit semantics under a fixed precedence.	evidence/r28_full_detector_matrix/executed_source/run_qcomem_qwen35_forkaudit_detector_matrix_v2.py	_run_case_impl;_classify_exception;main	18 cases on 8 distinct H20s; Qwen3.5-35B-A3B; N=2; document/query 4095/32; Q16 page 128	Secs. 4--7 [labels:sec:protocol,sec:results,sec:limitations]; Table [label:tab:first-gate-localization]; Appendix H [label:app:controls]
M-R28-DETECTOR-POLICY	The selective-gate policy suppresses only the preregistered target gate within one mutant case and restores the original gate functions on scope exit.	evidence/r28_full_detector_matrix/executed_source/qcomem_forkaudit_selective_gate_policy.py	SelectiveGatePolicy;SelectiveGatePolicy.__enter__;SelectiveGatePolicy.__exit__	One named target gate per mutant case; all other audit gates remain active	Secs. 4--7 [labels:sec:protocol,sec:results,sec:limitations]; Table [label:tab:first-gate-localization]
M-R28-DETECTOR-REPLAY	The frozen replay source reopens every rank and FP32 sidecar, rebuilds the canonical detector-matrix summary through the frozen builder, and requires exact byte equality with the recorded aggregate.	evidence/r28_full_detector_matrix/executed_source/replay_qcomem_qwen35_forkaudit_detector_matrix_v2.py	replay;main	replay source SHA 60caa10feb7032a66469ed761afbb37b2ed045699443aa6a34b557aaae8d0ff0; 32 raw entries; 8 ranks; 24 FP32 sidecars; byte-identical summary	Reproducibility Statement; Appendix H and J [labels:app:controls,app:artifact]
M-R28-DETECTOR-POSTPROCESS	The disclosed postexecution wrapper verifies the immutable candidate ledger, re-derives the inherited RR2 ID from the canonical receipt embedded in all eight detached-manifest-bound shards, changes only generated comparison-row run_id from null to that preregistered value, delegates all other checks to the frozen builder, and requires a byte-identical replay.	evidence/r28_full_detector_matrix/executed_source/postprocess_qcomem_qwen35_forkaudit_detector_matrix_v2.py	validate_raw_artifact_ledger;validate_rr2_run_binding;corrected_original_receipts;run	one-field source correction; summary SHA 94125f60bff8f3390716303c4f4d6262de894e62f932ba00f556ea9a3b97521e	Reproducibility Statement; Appendix H and J [labels:app:controls,app:artifact]
M-R23-A2-SCHEDULER-CONTRACT	The scheduler contract validates request/slot/epoch dispatch bindings, pairwise-disjoint live reservations, zero-scrub before reclamation, and exact frozen schedule replay.	evidence/round23_a2_scheduler_interleave/executed_source/qcomem_forkaudit_scheduler_contract.py	require_dispatch; require_live_reservations_disjoint; require_zero_scrubbed; replay_schedule	SHA-256 e9eb78d7981bf2c6a56032774a3bb64904e6e9892dcc16d07e2fb6b42205617f; deterministic request-step scheduler contract	Sec. 5.5 [label:sec:results]; Appendix H/Table [label:tab:scheduler-interleave]
M-R23-A2-SCHEDULER-EXECUTION	The formal runner builds two preregistered geometries, executes uninterrupted controls and an 18-event cancellation/replacement lifecycle, compares full-vocabulary logits/tokens and terminal logical KV/GDN state, injects three frozen scheduler-path faults, and aggregates eight rank shards.	evidence/round23_a2_scheduler_interleave/executed_source/run_qcomem_qwen35_forkaudit_scheduler_interleave.py	geometry_cells; schedule_spec; dispatch; assert_exact; run_control; scrub_cancelled_slot; run_lifecycle; aggregate_formal	8 ranks; 4 resident requests; page/prefix/tail 64/3985/17 and 128/4033/65; SHA-256 8a53591e53d4b9ff1efafca60fd2c42f48986c9b9719d60a93dc5a49549f32f4	Sec. 5.5 [label:sec:results]; Reproducibility Statement; Appendix H/Table [label:tab:scheduler-interleave]
M-R23-A2-SCHEDULER-REPLAY	The registered replay verifies all eight raw-shard hashes and requires the independently reconstructed summary to be byte-identical to the formal summary.	evidence/round23_a2_scheduler_interleave/formal_run_20260821a/receipts/raw-artifacts.sha256	sha256sum -c; cmp formal summary vs. independent replay summary	8/8 raw shards; 16 clean rank--geometry cells; 48 frozen fault outcomes; zero expected-gate misses	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R23-A1-EXECUTION-IDENTITY	The fail-closed identity builder recursively hashes a read-only source tree without importing project modules, rejects bytecode caches and mutable or non-regular entries, binds executable/environment/GPU/command identity, hashes terminal runtime-cache artifacts, and verifies immutable identity before versus after execution.	evidence/rr2_terminal_closure_a1_20260821/formal_refreeze_20260821a/source/gpu/qcomem_forkaudit_execution_identity.py	checked_tree; executable_identity; distribution_identity; gpu_identity; environment_identity; command_identity; cache_tree; capture; verify_stable	36 source-ledger entries; zero source pycache; four compiled cache artifacts; no explicit autotuning artifact	Reproducibility Statement; Appendix C/Table [label:tab:witness]; Appendix artifact map [label:app:artifact]
M-R23-A1-TERMINAL-CLOSURE	The frozen launcher binds source, execution, model, data, query, oracle, and GPU-assignment identity before output; executes eight GPU ranks; validates detached receipts and a blind aggregate; then repeats source, execution, model, data, and assignment checks before writing the terminal done marker.	evidence/rr2_terminal_closure_a1_20260821/formal_refreeze_20260821a/source/gpu/launch_qcomem_qwen35_forkaudit_review_revision_8gpu.sh	capture_execution_identity; model-load lease authority/closure; detached_raw_receipts; blind_aggregate; terminal_integrity; stages/99_done	Trial 1872962; run c4df723263854cbb561c215b551185ba; 8 ranks; 566 scientific-ledger rows; 14 model entries	Reproducibility Statement; Appendix C/Table [label:tab:witness]
M-R23-A1-INDEPENDENT-REPLAY	The terminal validation requires the independently replayed aggregate bytes to equal the formal summary and records that the replay leaves the source free of bytecode-cache directories.	evidence/rr2_terminal_closure_a1_20260821/formal_refreeze_20260821a/final-formal-trial1872962-terminal-validation.json	independent_replay.byte_identical_to_formal_summary; source_pycache_directory_count_after_replay	formal and replay SHA-256 both 5c510e59e62181b8c31dc722a7fca1337a5972b8533cd7ff556d266cb29e34c0	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R24-HYDRAGEN-TRANSFER	The bounded transfer constructs N=8/32 Qwen3.5 shared-prefix cases from hash-bound post-RoPE tensors, invokes the pinned Hydragen attention/LSE composition through the compatibility frontend, and compares against replicated dense attention plus a CPU-FP32 oracle.	evidence/round24_related_work_transfer/executed_source/qcomem_hydragen_transfer.py	load_rr2_capture; build_transfer_case; cpu_fp32_oracle; storage_accounting	layer 3; prefix 4095; suffix 32; N=8,32; BF16; one H20-3e	Sec. 5.2 [label:sec:results]; Table [label:tab:related-transfer]; Appendix H [label:app:controls]
M-R24-HYDRAGEN-REPLAY	The independent replay reads six FP32 sidecars, recomputes dense/oracle/Hydragen metrics and numerical gates, and verifies the formal raw ledger without treating producer timing as recaptured.	evidence/round24_related_work_transfer/replay_hydragen.py	load_sidecar; metrics; main	6 FP32 sidecars; portable absolute metric tolerance 1e-7; summary SHA 0d3c3d4f8d3bceb4e40886d9b98f7e7f1af69f96ed75bcae68363724a4ed4651	Table [label:tab:related-transfer]; Reproducibility Statement
M-R24-PALU-WHITEN	The bounded Palu port forms an FP32 activation covariance from eight calibration rows, applies deterministic jitter and Cholesky whitening, factorizes each layer-3 K/V head after W@S, and evaluates plain and whitened ranks on a ninth held-out row.	evidence/round24_related_work_transfer/executed_source/qcomem_palu_transfer.py	activation_whitener; whitened_headwise_svd_factors; truncate_factors; apply_headwise	layer 3; 2048 calibration tokens; one 256-token held-out row; ranks 64,128,192; BF16 outputs	Sec. 5.2 [label:sec:results]; Table [label:tab:related-transfer]; Appendix H [label:app:controls]
M-R24-PALU-EXECUTION	The formal runner binds the Palu source revision, model/data ledgers, nine token streams, captured calibration/held-out hidden states, projection weights, results, and 26 raw sidecars before classifying validity separately from the whitening-improvement hypothesis.	evidence/round24_related_work_transfer/executed_source/run_qcomem_palu_whiten_transfer.py	source_closure; model_and_tokens; capture_layer3_hidden; main	Qwen3.5-35B-A3B; H20-3e; 8 calibration PG19 books and 1 held-out book	Table [label:tab:related-transfer]; Reproducibility Statement
M-R24-PALU-REPLAY	The independent replay verifies complete raw-ledger coverage, reconstructs all BF16/FP32/int64 sidecars, recomputes held-out K/V errors and storage ratios, and re-derives rank monotonicity and whitening improvement without trusting producer booleans.	evidence/round24_related_work_transfer/replay_palu_whiten.py	tensor_from_receipt; relative_l2; main	26 raw sidecars; CPU-vs-GPU reduction absolute tolerance 1e-5; maximum observed drift below tolerance	Table [label:tab:related-transfer]; Reproducibility Statement
M-R25-HYPIC-PROTOCOL	The official-code protocol constructs token-identical document/query segments, proves discarded-warmup/formal segment disjointness, captures the live server command/environment/configuration, executes one fresh streamed measurement per cell, records OpenAI usage cache authority, and aggregates Full Recompute, Prefix Cache, and full HYPIC rows.	evidence/related_work_same_protocol/hypic-same-protocol-20260821c/executed_source/run_hypic_same_protocol.py	load_segmented_workload; server_receipt_stage; client_stage; aggregate_stage	Official commit 98147c0; SGLang 0.5.14; 8 ranks; 3 modes; TP=1; Qwen3.5-35B-A3B; 4,096-token cap; greedy32; HYPIC seam 8	Sec. 5.2 [label:sec:results]; Tables [labels:tab:h20-deployment,tab:serving-controls]; Reproducibility Statement
M-R25-HYPIC-CLOSURE	The frozen builder and launcher bind the exact tracked HYPIC source, private model snapshot, load-critical artifacts, environment, data, code, token identities, launch commands, and GPU assignment before output, then repeat model/source/environment checks and generate the terminal artifact ledger before marking completion.	evidence/related_work_same_protocol/hypic-same-protocol-20260821c/executed_source/build_hypic_formal_static.py	build_source_ledger; build_environment_ledger; build_preregistration	24 launch receipts; 24 raw cells; 4,404 terminal artifact rows; model bytes rehashed; formal summary SHA 0543b491e70ddfaf6d40651b1f1babec652bd9c8f2a5f9d0cca7305cc2cb1b3d	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R25-HYPIC-REPLAY	The independent replay reads the 24 raw cells, rechecks mode/rank/workload/config/cache/receipt bindings, reconstructs F1 and timing aggregates, and requires its canonical summary bytes to equal the formal output.	evidence/related_work_same_protocol/hypic-same-protocol-20260821c/executed_source/run_hypic_same_protocol.py	aggregate_stage	24/24 raw cells; 24/24 launch receipts; byte-identical SHA 0543b491e70ddfaf6d40651b1f1babec652bd9c8f2a5f9d0cca7305cc2cb1b3d	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R34-HYPIC-STORE-RECEIPT	The receipt overlay snapshots exact physical tensor-range unions owned by one retained document entry and binds the target, scheduler process, server, runtime manifest, raw row, pre-measurement ownership state, terminal ownership state, and clean-start allocator lifecycle.	evidence/related_work_same_protocol/hypic-retained-state-r34-trial1892234/replay_trial1892234_external.py	replay_one; replay_all	Official HYPIC commit 98147c0; SGLang 0.5.14; TP=1; 8 Prefix Cache + 8 HYPIC cells; target-entry-owned physical tensor ranges	Sec. 5.2 [label:sec:results]; Table [label:tab:h20-deployment]; Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R34-HYPIC-STORE-ACCEPTANCE	The external acceptance verifier preserves the original run disposition, validates all 16 cell-local receipt/hash chains and strengthened scheduler-process lineage, requires duplicate-free pre/terminal allocator domains, and independently recomputes the two byte medians without claiming whole-launcher completion.	evidence/related_work_same_protocol/hypic-retained-state-r34-trial1892234/accept_trial1892234_store_recovery.py	accept;exact_median_bytes;main	16/16 externally accepted cells; Prefix median 146,309,120 bytes; HYPIC median 339,834,880 bytes; no timing or whole-launcher closure claim	Reproducibility Statement; Appendix artifact map [label:app:artifact]
M-R29-GDN-OBSERVER-CAPTURE	The internally preserved R29 source-distinct observer constructs opaque tensor identities, descriptors, relations, and verdicts from live candidate-created tensors, but runs in the candidate process and is superseded by R33 for active capture-independence support.	evidence/r29_independent_observer/executed_source/r29_independent_gdn_observer.py	ObserverSession.capture;evaluate_phase;compare_candidate_snapshot;evaluate_lifecycle	Two fresh N=2 GDN-policy cells; setup, transition, final phases; same process and PyTorch storage API; superseded by E-R33-OUT-OF-PROCESS-GDN-CAPTURE-A	Internal evidence registry only
M-R29-GDN-OBSERVER-EXECUTION	The internally preserved R29 runner builds each policy cell, invokes candidate and same-process source-distinct captures, compares descriptors and relations, and emits a hash-bound result.	evidence/r29_independent_observer/executed_source/r29_run_independent_gdn_observer.py	_capture_phase;_run_policy_cell;run	Two N=2 cells; 6 phase points; 1,080 descriptor and 96,660 relation comparisons; not active out-of-process support	Internal evidence registry only
