method_id	method_statement	source_path	symbol_or_lines	configuration_or_runtime	manuscript_locations
M-QCOMEM-SPLIT-DEPTH	The split depth is j=7: it is carried in the configuration name replay-d7-*, parsed into ResolvedReplayConfig.depth, and validated against the 40-layer backbone.	gpu/run_replay_diagnostic.py	resolve_config (L365-L419, depth parsed at L370-L374); LAYER_VALIDATION_POLICIES (L116-L154); TorchSplitCausalLM._validate_depth (qcomem_torch.py L653-L655)	Layers 0-6 are retained; on Qwen3.5-35B-A3B layer 3 is the only full-attention layer below the split and layers 0,1,2,4,5,6 are GDN. The exactness smoke gate in launch_mixed_validation_8gpu.sh runs --depth 7 (L89). NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); neither run_replay_diagnostic.py nor launch_mixed_validation_8gpu.sh is archived here.	Sec. 4.1 [label:sec:decomposition]; Sec. 4.2 [label:sec:write]; Fig. 2a [label:fig:qcomem-quantization-map]
M-QCOMEM-TRUNCATION	Inputs are capped at 4,096 tokens by rendering the official LongBench-v1 prompt around a context marker and, when the context exceeds the remaining budget, keeping its first half and last half and dropping the middle; the document is prefix+context and the query is the template suffix.	evidence/round_04_rr2_package/executed_source/gpu/run_downstream.py	prompt_parts (L182-L215); truncation at L210-L213; DATASET_PROMPTS (L54-L82); DATASET_MAX_NEW_TOKENS (L53); generation_limit (L170-L171); load_samples (L116-L167)	max_input_tokens=4096; requires at least 256 context tokens; source indices 6-35 with 4-5 excluded and 30 items per dataset, all set in the recorded launch command in evidence/qcomem_mixed_validation_60item_20260812d/submission/qcomem-mixed-validation-reasoning.yaml	Sec. 5.1 [label:sec:setup]; Table 2 caption [label:tab:qcomem-tradeoff]
M-QCOMEM-POLICY-FROZEN	The frozen Q4/Q4/Q8 state-type policy is residual_bits=4 with the per-layer cache vector [8,8,8,4,8,8,8], i.e. Q4 on the single lower full-attention layer and Q8 on the six lower GDN layers.	gpu/run_replay_diagnostic.py	LAYER_VALIDATION_POLICIES['replay-d7-frozen-static'] (L141-L146); suite entry 'layer-validation' (L91-L99)	residual_bits=4, attention_bits=4, linear_bits=8, cache_layer_bits=(8,8,8,4,8,8,8); the identical vector is re-declared as the negative-control alias replay-d7-frozen-static-lora (L147-L152) and is preregistered in evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json} field frozen_static; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); run_replay_diagnostic.py	Sec. 4.2 [label:sec:write]; Fig. 2b [label:fig:qcomem-quantization-map]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-POLICY-SAMEMEM	The same-memory per-layer policy is residual_bits=4 with the per-layer cache vector [8,8,4,4,8,8,8], selected under a byte budget equal to the frozen policy's predicted size.	gpu/run_replay_diagnostic.py and gpu/aggregate_layer_sensitivity.py	run_replay_diagnostic.py LAYER_VALIDATION_POLICIES['replay-d7-same-memory-mixed'] (L153-L158); aggregate_layer_sensitivity.py optimize (L20-L50), budget construction (L80-L92)	attention_bits=4, linear_bits=None; budget_bytes=6,956,256 and predicted_bytes=6,677,728, i.e. 96.0 percent of the cap rather than an equal-memory point; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); neither file is archived here, but the selected vector and both byte figures are preserved in evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	Sec. 4.2 [label:sec:write]; Table 1 [label:tab:qcomem-validation60]; Table 2 caption [label:tab:qcomem-tradeoff]
M-QCOMEM-POLICY-AGGRESSIVE	The aggressive mixed policy is residual_bits=4 with the per-layer cache vector [8,8,2,2,2,8,2], selected under a budget 25 percent below the frozen policy's predicted size.	gpu/run_replay_diagnostic.py and gpu/aggregate_layer_sensitivity.py	run_replay_diagnostic.py LAYER_VALIDATION_POLICIES['replay-d7-minus25-mixed'] (L159-L164); aggregate_layer_sensitivity.py budgets['minus_25_percent'] (L90)	attention_bits=2, linear_bits=None; budget_bytes=5,217,192 and predicted_bytes=5,198,432; the code name is minus25-mixed, the manuscript name is aggressive mixed; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); selected vector preserved in evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	Sec. 4.2 [label:sec:write]; Table 1 [label:tab:qcomem-validation60]; Sec. 5.4 [label:sec:quality]
M-QCOMEM-POLICY-CALIBRATION	All three per-layer vectors come from one Pareto-pruned knapsack over per-component (residual plus cache.0-cache.6) byte/KL profiles measured on four held-out calibration prompts, minimizing summed mean first-token KL subject to a byte budget.	gpu/aggregate_layer_sensitivity.py and evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	aggregate_layer_sensitivity.py pareto_prune (L9-L18), optimize (L20-L50), option_bytes (L53-L59), main (L61-L116); layer_policy.json components/policies; receipt.json policy_before_validation	4 calibration rows at source indices 4-5 per dataset, disjoint from validation indices 6-35; QuickSilver job 233909 / trial 1827870, completed 2026-08-11T15:52:45Z, layer_policy.json SHA-256 f34d4b89e9936c8d58d27df69268250f7985c9f4db1d9cef4d3041a06df36e87, recorded before the validation run; the receipt's own claim_boundary states the four-prompt search is too small to justify policy-optimality claims; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); aggregate_layer_sensitivity.py	Sec. 4.2 [label:sec:write]; Table 2 caption [label:tab:qcomem-tradeoff]; Sec. 5.1 [label:sec:setup]
M-QCOMEM-STORE-ACCOUNTANT	Store for the 60-item panel is stored_persistent_nbytes = PackedResidual.nbytes + PackedCache.nbytes, where the residual term sums numel*element_size over data/scales/biases and the cache term delegates to cache_nbytes, a reflective walk that sums untyped_storage().nbytes() over tensor leaves deduplicated by (device, data_ptr, storage_nbytes).	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py tensor_nbytes (L15-L18), PackedResidual.nbytes (L63-L69), PackedTensor.nbytes (L156-L161), cache_nbytes (L266-L294), PackedCache.nbytes (L364-L366), PackedLowerReplayState.stored_nbytes (L588-L596), FullPrefixState.stored_nbytes (L627-L629); run_replay_diagnostic.py run_config record fields (L544-L554, L591-L593)	The two paths agree numerically for every quantized arm in this cohort: each packed leaf owns a freshly allocated, exactly sized storage, so neither the data_ptr dedup nor the storage-vs-numel difference removes or adds bytes. Independently re-derived per item for 60/60 items and 5/5 configurations from the archived shards. Excludes non-tensor/Python metadata, allocator pools, process/NVML memory, workspace and admission capacity. NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); run_replay_diagnostic.py	Sec. 5.1 [label:sec:denominators]; Sec. 5.2 [label:sec:memory]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-STORE-Q16-DTYPE-DEFECT	The Q16 reference arm is not a BF16 reference for cache leaves: quantize_tensor at bits=16 clones the leaf in its source dtype instead of casting to BF16, so the FP32 Qwen3.5 GDN recurrent state is counted at 4 bytes per element while every quantized arm is counted from element count at 64b/8+4 bytes per 64 elements.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	quantize_tensor bits==16 branch, data = flat.clone() with original_dtype=tensor.dtype (L201-L210); contrast quantize_residual bits==16, data=residual.to(torch.bfloat16) (L110-L117); FullPrefixState.stored_nbytes counts the raw native-dtype cache (L627-L629)	Exactly 524,288 FP32 recurrent elements per GDN layer: +1.0 MiB/layer of reference-side bytes. Split-Q16 lower cache is inflated by 6 GDN layers = 6.0000 MiB/doc; full-prefix Q16 by 30 GDN layers = 30.0000 MiB/doc. The same defect is visible standalone in the archived calibration table, where a GDN layer's Q16/Q8 byte ratio is 3.6540x against an Eq. 3 Q8 ceiling of 1.8824x, while the BF16 attention layer's Q16/Q4 ratio is exactly 3.5556x. Consequence: 136.235 -> 106.235 and 34.683 -> 28.683 MiB/doc under a consistent BF16 reference; 14.10x -> 11.00x and 3.93x -> 3.70x; the quantized rows 9.661/9.395/7.536 MiB/doc do not move.	Sec. 4.2 [label:sec:write]; Sec. 5.1 [label:sec:denominators]; Sec. 5.2 [label:sec:memory]; Table 1 [label:tab:qcomem-validation60]; Table 2 [label:tab:qcomem-tradeoff]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-STORE-COMPONENTS	The per-component Store decomposition that the aggregate shards do not carry is exactly reconstructible: per document of T tokens the entry is the residual (2048T elements), layer-3 K and V (512T elements each), and six GDN layers each holding 32,768 BF16 conv elements plus 524,288 FP32 recurrent elements.	evidence/qcomem_mixed_validation_60item_20260812d/artifacts/raw/shard-{0..7}-{config}.json and evidence/qcomem_mixed_validation_60item_20260812d/calibration/{layer_policy.json,receipt.json}	shard fields stored_residual_nbytes / stored_lower_cache_nbytes / stored_persistent_nbytes; layer_policy.json components residual and cache.0-cache.6 with mean_component_nbytes at bits 2/4/8/16	Reconstruction verified with zero residuals on 60/60 items for prefix, split Q16, frozen, same-memory and aggressive: Q16 lower = 2*(512T)*2 + 6*(32768*2 + 524288*4); quantized components = ceil(n/64)*(64b/8+4). Cohort mean document length 3807.25 tokens (min 1146, max 4050). At the mean: residual 14.8721 MiB at Q16 and 4.1828 at Q4; K+V 7.4361 at Q16 and 2.0914 at Q4; each GDN layer 2.0625 as counted at Q16 (1.0625 if BF16-referenced) and 0.5645 at Q8.	Sec. 5.1 [label:sec:denominators]; Sec. 5.2 [label:sec:memory]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-BASELINE-FULLPREFIX	The full-prefix reference writes an ordinary 40-layer Transformers cache for the document and reports its deduplicated native-dtype storage size; the split-Q16 reference packs the seven lower layers at bits=16, which is byte-identical to native dtypes.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py write_full_prefix (L929-L941), FullPrefixState (L620-L637); run_replay_diagnostic.py prefix branch (L494-L503)	10 full-attention plus 30 GDN layers; measured 136.2354 MiB/doc mean over the 60 items, of which 30.0000 MiB is FP32 GDN recurrent state; Table 1 and Table 2 both label this row Q16/BF16, which the code does not implement for GDN recurrent state	Sec. 5.1 [label:sec:denominators]; Sec. 5.2 [label:sec:memory]; Table 1 [label:tab:qcomem-validation60]; Table 2 [label:tab:qcomem-tradeoff]
M-QCOMEM-DEPLOY-STORE	The eight-item deployment table's Store column is persistent_document_nbytes, which is the same residual.nbytes + PackedCache.nbytes formula as the 60-item panel, reported as a median; the byte-range union it also computes is persistent_total_resident_nbytes and is not the printed column.	gpu/qcomem_deployment.py, gpu/qcomem_paged.py and scripts/generate_h20_deployment_table.py	qcomem_deployment.py persistent_components (L316-L352), build_persistent_state (L356-L399); qcomem_paged.py deployment_memory_components (L380-L403), _storage_key/_storage_nbytes (L23-L33); scripts/generate_h20_deployment_table.py store_mib from persistent_document_nbytes median (L109)	Verified by reconstruction: at a 4,016-token median document the printed 15.89 / 10.01 / 9.74 / 8.41 MiB rows equal the format identity exactly, and the 140.34 MiB reference again carries 30.0000 MiB of FP32 GDN recurrent state. Table 2's caption claim that Store is the physical byte-range union is therefore not what the printed column measures. NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); qcomem_deployment.py and qcomem_paged.py	Sec. 5.1 [label:sec:denominators]; Sec. 5.2 [label:sec:memory]; Table 2 [label:tab:qcomem-tradeoff]
M-QCOMEM-F1	Answer quality is LongBench-style token F1: lowercase, strip ASCII punctuation, drop the articles a/an/the, collapse whitespace, then take the multiset token overlap F1 and the maximum over the item's references.	evidence/round_04_rr2_package/executed_source/gpu/run_downstream.py and evidence/qcomem_mixed_validation_60item_20260812d/replay/verify.py	run_downstream.py normalize_answer (L84-L89), answer_f1 (L91-L103), max_reference_f1 (L105-L106); run_replay_diagnostic.py per-item max over references (L567); verify.py normalize_answer (L179-L184), answer_f1 (L186-L196)	Empty-prediction and empty-reference cases return float(pred_tokens == ref_tokens); punctuation removal uses Python string.punctuation, i.e. ASCII only. The archived verifier recomputes all 360 stored F1 values from predictions and references and requires exact agreement with the shards.	Sec. 5.1 [label:sec:setup]; Sec. 5.4 [label:sec:quality]; Table 1 [label:tab:qcomem-validation60]; Table 2 [label:tab:qcomem-tradeoff]
M-QCOMEM-BOOTSTRAP	Confidence intervals are paired nonparametric bootstraps over per-item F1 deltas: items are matched by (dataset, id, source_index), 10,000 resamples of size n are drawn with replacement from a seeded random.Random, the resampled means are sorted, and the 2.5/97.5 order statistics are reported.	gpu/analyze_validation.py, gpu/aggregate_replay.py and evidence/qcomem_mixed_validation_60item_20260812d/replay/verify.py	analyze_validation.py paired_rows (L19-L35), bootstrap_mean_ci (L37-L50), comparison (L53-L92); aggregate_replay.py seeded call sites (L351, L358, L377, L559); verify.py bootstrap_mean_ci (L207-L219)	repetitions=10,000; base --bootstrap-seed 20260811 with deterministic per-comparison offsets; index selection int(0.025*(n-1)) and int(0.975*(n-1)); the resampler draws indices one at a time so the interval is reproducible only for this exact seed sequence and repetition count. The archived verifier recomputes every interval and requires exact equality. NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); analyze_validation.py and aggregate_replay.py	Sec. 5.4 [label:sec:quality]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-PANEL-RUNNER	The 60-item panel driver resolves each configuration, writes and quantizes the document entry once per item, records write/quantize time, Store components, residual and cache error sums, then generates and scores.	gpu/run_replay_diagnostic.py	run_config (L450-L642); CONFIG_SUITES['layer-validation'] (L91-L99); resolve_config (L365-L419); main (L644-...)	Six configurations x 60 items sharded over 8 ranks (48 shards); Qwen3.5-35B-A3B revision 59d61f3, PyTorch 2.11.0+cu129, Transformers 5.14.1, eight H20-3e; exact launch environment recorded in evidence/qcomem_mixed_validation_60item_20260812d/submission/qcomem-mixed-validation-reasoning.yaml; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); this file, launch_mixed_validation_8gpu.sh and aggregate_replay.py are absent from every evidence package and from supplement_anonymous/code	Sec. 5.1 [label:sec:setup]; Sec. 5.2 [label:sec:memory]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-PANEL-REPLAY	The archived raw-first verifier re-derives the Table 1 row from the shards without importing the candidate code: it checks every package and remote-mirror hash, rebuilds the six 60-item cohorts, recomputes all 360 F1 values, the means, the paired bootstrap intervals, the agreement and catastrophic-regression counts, the retained-state byte means and the compression ratios, and requires exact agreement with the archived aggregate.	evidence/qcomem_mixed_validation_60item_20260812d/replay/verify.py	verify_package_manifest (L128); verify_remote_raw_ledger (L153); merge_and_verify_shards (L244) including the stored_persistent == residual + lower_cache identity (L304-L308); verify_summary (L321) including persistent_compression_vs_prefix/vs_q16_replay (L562-L575)	48 shards, 60 items, 6 configurations, 360 F1 recomputations; run via replay/run_replay.sh; the verifier checks that the components sum to the total but does not check either component against the Eq. 3 format identity, which is why the Q16 dtype asymmetry passes it	Sec. 5.1 [label:sec:setup]; Reproducibility Statement; Appendix artifact map [label:app:artifact]
