paper_id	reviewer	issue_id	severity	dimensions	location	observed_evidence	why_it_matters	required_fix	verification_test	evidence_needed	expected_impact	confidence
A1	R2	A1-R2-05	major	clarity,limitations_responsible_claims	第 23 页表 20 的 Final synthesis 行	稿件在解释清单中披露并对比既往内部与外部评审分数，还声称当前定位依据其中一项 grade。该信息不是科学证据，也与本次盲审对象无关。	在投稿正文中呈现既往分数会直接锚定后续 reviewer，并可能泄露审稿/编辑过程上下文。它违背独立评价原则，也削弱论文对 measurement hygiene 的可信度。	删除所有既往 reviewer、panel、score、grade 与‘positioned against’表述；只保留由论文数据支持的科学结论。	对最终 PDF 做文本扫描，确认不存在先前评分、评审身份、目标分数或要求 reviewer 采纳的元评审内容。	清理后的盲审稿。	high	high
A1	R3	A1-I1	critical	experimental_rigor,technical_soundness,limitations_responsible_claims	第 6--8 页第 4 节/J2；第 10 页表 6--7；第 22 页附录 E	28 个 raw Bed 1 pair 中有 3 个 sign reversals；所谓 definite favorable gate 选出 23 对且 reversal 为 0。论文承认“definite”只有估计措辞预注册，具体要求 exact two-sided McNemar p<0.05、paired CI 排除零且方向有利，是看过数据后才 operationalize。所有 raw reversals 都位于小于 1 pp 的 near-tie stratum，恰被该 gate 排除；两个更宽松 gate 各保留 2 个 reversals。	事后选择且按有利方向条件化的 gate 不能提供确认性的零反转证据。它几乎与“远离 near-tie”同义，因此 0/23 是选择规则的结果，而不是 parser normalization 普遍保持顺序的证据。	把 3/28 raw result 作为唯一主要结果，将所有 gate 降为明确的探索性敏感度；在独立数据上预注册双向、与观察方向无关的 effect-size/uncertainty 门限，并控制完整 pair family。	独立 arm family 在锁定 gate 下运行，报告所有 eligible/ineligible pairs 与 raw matrix；零反转结论需在未按方向筛选的预定 family 中通过校准的概率或区间门限。	带时间戳的 gate 规范、未见数据的独立 arm records、完整 pair-level effect/CI/p 值和 multiplicity 决策。	high	high
A1	R3	A1-I2	critical	experimental_rigor,reproducibility	第 8、10、16--17、22 页 J2 arm inventory、表 6/11 与附录 E	预注册与 frozen plan 声称九个 Bed 1 arms、36 pairs，但 shipped per-arm records 只能识别八个 arms、28 pairs；第九 arm 未识别。论文给出将缺失 arm 作最坏分配的 36-pair bounds，但没有实际观测。	缺失 arm 属于计划 family 的 20% 关系（8/36 pairs）。对其作对抗计数不能恢复效应、pair dependence 或 gate eligibility，也无法验证完整预注册结论。	找回第九 arm 的明确配置与逐题输出，按相同 parser lineage 重算全部 36 pairs；若无法恢复，必须把目标 family 正式改为八 arm、明确承认预注册主要分析不可完成。	arm manifest、题目 IDs 与输出哈希应唯一映射九个 arms；第三方能重建 36-pair matrix并复现 multiplicity/gate 结果。	缺失 arm 的配置、逐题生成、parser 输出、完整 manifest 与运行哈希。	high	high
A1	R3	A1-I3	major	technical_soundness,experimental_rigor,limitations_responsible_claims	第 5 页第 3.2 节；第 7 页 J1；第 9、18 页表 5/13	B1-32 的 q≈0.099，而 B2-96 的 q≈0.983；条件准确率 a 相差 -32.76 pp，但它们对应由生成后格式行为选择出的完全不同子群，且两个床的任务 split、prompt 与配置也不同。additive share 还随任意 anchor 在 [59.11%,95.87%] 变化。	J1 不能识别统一能力或可加的 parser 贡献；它只描述两个不同 selected populations 的条件率。论文虽承认该点，但这也使“two-bed leveling”的科学产出主要是不可比性诊断。	若要作跨床 level 结论，需在同一模型、prompt、任务与题目上随机化/操纵格式要求或构造共同支持，并预先定义可识别 estimand；否则标题与摘要应进一步限定为描述性 parser audit。	同题同配置的格式干预中，格式/救援路径由随机化决定且两组有充分 overlap；用 IPW/标准化或随机化差异估计 common-population effect。	共同题目上的受控格式干预、propensity/overlap 诊断和预注册 estimand。	medium	high
A1	R3	A1-I4	major	reproducibility,experimental_rigor	第 2 页 Beds, arms, and rulers；第 12--15 页 Reproducibility/A.1	冻结 artifacts 未记录 sampling seeds 与 temperatures，trials 也未重新分发；作者明确只能从 shipped tables 复算分析，不能重建生成。两床还包含不同 split、prompt、budget 与配置。	rescue share 与格式排放可能高度依赖温度、seed、prompt 和长度预算。无法重生成意味着无法区分稳定 parser artifact 与某次未记录采样的偶然组成。	在完整记录 prompt、temperature、每题 seed、model/checkpoint、budget 与软件版本的新床上前瞻性重复，并发布逐题原始回答与 judge traces。	第三方可端到端重建新床；跨 seeds/temperatures 的 rescue share、channel gap 与 order matrix 方向稳定，并报告异质性。	可执行生成清单、逐题 seeds/config、原始文本、parser traces 与哈希。	high	high
A1	R3	A1-I5	major	technical_soundness,reproducibility	第 9 页表 5；第 15、18、20--21 页附录 A.1/D、表 12/17/18	canonical reimplementation 与冻结结果有 6/2136=0.28% 漂移；S1 tight 与 S2 raw-whitelist strict sources 在多个 arms 相差 1--6 个 formatted-correct items，使 Bonferroni 显著 arm 数从 3/8 变为 4/8。不同 parser lineage 还会显著改变绝对 accuracy 与 definite reversal counts。	论文的主题正是 parser 敏感性，因此 load-bearing label 自身没有独立金标准时，通道 gap 与顺序结论可能只是所选实现的边界效应。	建立覆盖全部分歧与随机抽样响应的双人盲标金标准，发布 parser unit tests/优先级规范；主分析同时报告金标准及预注册 parser，其他 lineage 作为敏感度。	两个独立实现逐 response 输出一致；对不一致项人工仲裁后，主要计数、gate 与多重性结论在金标准上保持。	分歧 response、各 parser trace、盲标与仲裁记录、单元测试和重算结果。	high	high
A1	R3	A1-I6	major	clarity,limitations_responsible_claims	第 23 页表 20，Final synthesis 行	双盲投稿 PDF 明文包含既往内部 panel 与外部 reviewer 的评分、维度判断和定位文字。本审稿因必须全文阅读而被动遇到该信息，但已完全忽略其评分与结论。	向后续审稿人暴露既往评分会锚定判断、破坏评审独立性，并把与科学证据无关的内部 QC 元数据带入匿名稿。	删除所有既往 reviewer/panel 分数、目标评分、接受倾向与审稿比较；在提交前对 PDF 做自动检索和人工 blind-integrity audit。	新的冻结 PDF 中检索 reviewer、panel、score、overall、accept/reject 等元数据不再返回任何审稿历史，独立检查者确认无隐含评分线索。	清理后的 PDF 与 blind-integrity checklist。	high	high
A10	R1	A10-I1	critical	novelty,significance	PDF pp.1–3，Abstract、§1–§2 与 Table 1；PDF p.8，§5；PDF p.9，Conclusion	论文反复声明这些字段不是新 metric、signal schema 不是新 decoder、random-init 不是竞争 baseline，且没有质量排序、capability 或训练发现。相对于 Table 1 所列最近工作，新增内容主要是把长度、字母词产出和词集中度并列报告在一个极窄 pilot 中。	负结果可以重要，但需要揭示反直觉、可泛化的现象或提供可复用且经验证的方法。当前最强正结果只是预训练初始化在极短预算下比随机初始化损失低，这一方向本身预期性很强；报告字段也未被证明能解决实际选择问题。	明确一个可证伪的核心研究问题，并用多模型/多提示/多训练阶段证据回答；若贡献是测量方法，则需定义并验证其相对现有退化指标的增量效度。	在预先固定的数据集与提示套件上比较 companion bundle 与标准重复度、长度、distinct-n、人工质量标签的预测/诊断性能，并在独立模型上复现。	跨设置效度研究、强基线和清晰的新增科学命题。	high	high
A10	R1	A10-I2	major	experimental_rigor,technical_soundness	PDF p.4，§3.3 与 Table 2；PDF pp.6–7，§4.2、Tables 5–8；PDF pp.8–9，§5–§7	生成评价仅有一个提示、一个 seed-42 checkpoint pair、两个温度和每格 32 个样本；两臂输出都明显退化。AR-init 在 τ=0.7 只有 1/32 样本达到 128 tokens，PPL 排序随 teacher、温度和长度 cap 改变，且没有独立人工质量锚。	在长度和退化模式严重不同的条件下，PPL 与简单 emission 统计看似“互补”可能只是测量了样本长度/循环形态，不能说明它们对一般生成质量或初始化比较有判别力。	扩展到多提示、多生成 seed、多 checkpoint 和至少一个独立人工/任务质量锚；按 continuation 级而不是只按 cell 汇总集中度，并预先规定长度处理。	在独立保留集上评估各指标与盲人工偏好/任务成功的相关、校准及错误案例；用层级 bootstrap 同时覆盖 prompt、checkpoint 和 sample。	多提示重复、逐样本统计、人工质量标签与独立验证集。	high	high
A10	R1	A10-I3	major	experimental_rigor,significance,limitations_responsible_claims	PDF pp.3–5，§3.2、§4.1，Tables 2–4、Figure 2；PDF p.9，Table 11	两臂仅训练 458 步/约 30M tokens，曲线仍在变化；比较的是保留大量 AR 预训练信息的初始化与从头随机权重。四个重复只改变数据顺序/训练随机性，三次独立 weight draws 也仅给出同一短预算下的三个差值，符号检验 n=4 的最小单侧 p 为 0.0625。	这一设计无法区分初始化带来的预期起点优势、学习速度和最终可达性能，也没有给出等 loss、等计算到收敛或更有竞争力的初始化对照。	加入 step-0 和密集学习曲线，训练到接近收敛或比较达到相同 loss/质量所需计算；增加多个权重 seed 和合理的中间初始化基线。	预先定义曲线 AUC、time-to-threshold 和最终窗口效应，在足够多的独立权重 draw 上给出层级区间，并检查差异是否在匹配训练阶段后仍存在。	长程学习曲线、step-0、更多独立初始化和阶段匹配对照。	high	high
A10	R1	A10-I4	major	reproducibility,technical_soundness	PDF p.4，Table 2；PDF p.8，Tables 9–10；PDF p.9，Reproducibility Statement	drift scalar/top-k 重算相差 12.6%–18.1%，最坏记录误差 56.8%，因此没有 drift effect；MAUVE 未记录；principal random-init 使用 ambient RNG 且没有 seed 参数，step 0 也未记录；冻结时无经验证的外部匿名 URL。	失败的量化检查不能支持轨迹结论，缺失权重种子又使主要随机初始化无法从头重建。只提供 checkpoint 哈希可验证现有文件，却不能复现产生过程或检验独立 draw 变异。	修正并重跑 drift/MAUVE，记录完整配置和误差门；为所有权重、训练与生成随机源提供明确种子，加入 step-0，发布可访问的匿名工件。	独立环境从记录种子生成相同初始权重，重跑诊断后 scalar/top-k 差异低于预设 1% 门，并从公开工件复算所有主表。	可执行匿名工件、完整 RNG provenance、修正后的诊断输出。	high	high
A10	R2	A10-R2-01	major	technical_soundness,experimental_rigor	第 1 页摘要与贡献 1；第 5 页图 2、表 4与 §4.1	四个差值为 2.2814、2.2893、2.2394、2.2391，paired-t 区间极窄为 [2.2196,2.3050]；但 n=4 无法可靠检验差值正态性，精确 one-sided sign test 的最小 p 仍为 0.0625。四次还共享同一对固定 initialization checkpoints。	t 区间的精度主要反映这一个固定权重对下 data-order 差值很稳定，不能支持更广的重复性或初始化效应。以它作为 headline CI 容易掩盖有效独立单位极少、稳健检验未过阈值。	将四次结果表述为描述性 fixed-pair consistency，并以 sign/randomization interval 为主；增加足够多、预先设定的 paired runs，使 robust paired inference 有可用分辨率。	预注册 seeds 和主统计量；报告 sign/permutation、t 与 bootstrap 敏感性，并证明结论不依赖正态假设或单个 seed。	更多独立 paired runs 与稳健小样本推断。	high	high
A10	R2	A10-R2-02	major	technical_soundness,experimental_rigor,limitations_responsible_claims	第 3–4 页 §3.2与表 3；第 8–9 页 §5–6、表 11	仅三个 fresh random draws，gap 为 2.300、2.281、2.272；论文用 percentile bootstrap 给出下界 2.272>0。三点 bootstrap 的尾部基本退化为观测极值，无法评估权重分布尾部；三次同号的 one-sided sign p 为 0.125。	该结果不能以 95% 置信度推广到随机初始化总体，也不能说明 emission mode 稳定；事实上两次 loop、一次 gray 已显示 draw dependence。	撤下 population-CI 语言，把三点列为 pilot；用足够多独立 weight seeds、独立 data orders 和层级模型/随机化检验分离 draw 与 run 方差。	交叉 weight_seed×data_seed 设计，在 draw 级留一法和符号检验下方向仍稳定，并报告 draw-level emission mode 分布。	更大多初始化、交叉随机效应实验。	high	high
A10	R2	A10-R2-03	major	significance,experimental_rigor,technical_soundness	第 3–8 页 §3.3–5；表 5–10	生成证据来自一个 prompt、seed-42 checkpoint pair、每 cell 32 continuations；无人工或独立质量 anchor。两臂都退化，PPL 在 teacher/cap/temperature 下改变或反号。drift scalar/top-k totals 又相差 12.6%–18.1%，没有误差界。	输出长度与词频当然能区分短 stub 和重复 loop，但这不验证它们能诊断质量、训练状态或一般 degeneration，也不建立相对 PPL 的增量效度。轨迹机制因 failed gate 不能解释。	在多 prompts、checkpoints、weight draws 与至少一个人工/任务质量锚点上预先定义退化标签，评价各字段的 discriminative/增量效度；修复 drift 记录后独立复跑。	按 prompt 和 checkpoint 留出测试，比较 PPL-only 与 PPL+E 对 blind degeneration labels 的性能；drift 重算必须通过预定容差。	多样生成样本、独立标签与修复后的 trajectory records。	high	high
A10	R2	A10-R2-04	major	reproducibility,experimental_rigor	第 4 页表 2；第 9 页 Reproducibility Statement	principal random weights 由 host ambient RNG 产生且 seed 未记录；step 0 也未记录。文稿没有 verified external anonymous URL，只列 checkpoint SHA 和本地匿名 bundle 信息，未明确保证权重 bytes 可取得。	若 checkpoint 不随包发布，第三方无法重建这个唯一 fixed draw，标题中的 reproducible 只适用于派生表格而非核心训练条件。SHA 能验证已有 bytes，不能从零恢复 bytes。	发布匿名 checkpoint 或精确 RNG state/初始化脚本，使权重逐 tensor 重建；提供外部可访问 artifact 与端到端验证命令。	干净环境重建 principal draw，所有 272 tensors 的 digest 与给定 checkpoint 相同，并复现 step-10/450 endpoints。	checkpoint bytes 或完整 RNG state、公开 artifact 和第三方重放。	high	high
A10	R2	A10-R2-05	major	novelty,significance,limitations_responsible_claims	第 1–3 页 §1–2；第 8 页 §5–7	AR-init 继承已预训练 SmolLM2 权重，random-init 从零开始，两者只训练 30M tokens/458 steps，loss 仍在变化；作者明确不提出新训练发现、metric、decoder、质量排序或跨床结论。	预训练初始化在极短预算下低于随机初始化是预期负控，而不是足以改变领域认识的发现。剩余 deliverable 是把常规表面统计量并列报告，尚无采用或性能证据。	把工作定位为 artifact/engineering note，或提出并验证一个可迁移、可证伪的问题，例如不同预训练适配方案在匹配收敛预算和多质量锚点下的系统比较。	在 matched compute-to-convergence、多模型/规模和独立任务上验证新的主假设，并相对最近 AR-to-diffusion baselines 量化增量。	具有外部效度的训练与评估实验。	high	high
A10	R3	A10-I1	critical	experimental_rigor,significance,technical_soundness	第 1--2 页摘要/引言与图 1；第 3--4 页表 2；第 6 页表 5--6；第 9 页表 11	生成评估仅使用一个提示、一个 seed-42 checkpoint pair、每 arm/temperature 32 个 continuation。AR-init 主要产生标点/换行残片，random-init 主要产生单词循环；两者都退化。没有人评、任务正确率或其他独立质量锚，MAUVE 也未成功记录。	当所有比较对象均失败且没有外部目标时，PPL、长度、argmax concentration 或 entropy 的差异无法解释为更好的生成、可用诊断或普适负对照属性。单提示还完全无法估计 prompt population 变异。	在预先定义的多提示集合、至少两个任务/模型规模和多个 checkpoint/生成种子上评估；加入与研究问题匹配的独立质量锚（盲人评或任务标签），并预先说明每个内部信号预测的外部结果。	对提示与生成种子分层重采样，报告每个信号对独立质量标签的校准/区分性能及跨床异质性；不能只在退化样本中以 arm identity 作为替代标签。	完整提示清单、逐样本输出、盲标协议或任务标签、独立种子和分层统计结果。	high	high
A10	R3	A10-I2	major	experimental_rigor,technical_soundness	第 1 页结果预览；第 3--5 页表 3--4；第 9 页表 11	四个 paired seeds 只改变数据顺序和训练随机性，随机权重 draw 固定；配对 t 区间基于 n=4，方向 sign test 的最小双侧 p 为 0.0625。额外三个随机初始化虽方向一致，但都用同一 seed-42 数据顺序，并未形成权重×数据顺序的独立重复设计。	窄区间 [2.220, 2.305] 只反映固定权重 draw 下的数据顺序变异，容易被误读为初始化总体的精度。n=3 方向检查不足以估计初始化方差或交互。	采用预先功效分析的交叉/嵌套重复：多个独立随机权重 draw、多个数据顺序与训练种子，并为 AR-init 提供相同层级的重复；用分层模型或按独立 draw 聚类的区间报告方差分量。	主要 loss gap 的区间应在权重 draw 和数据顺序两个层级都重采样后仍远离零，并报告 draw×order 交互及异常 draw。	每个 weight seed × data-order seed 的 endpoint、预定样本量与分层分析代码。	high	high
A10	R3	A10-I3	major	reproducibility,experimental_rigor	第 4 页表 2；第 9 页 Reproducibility and release	主 random-init 权重由 host ambient RNG 产生且未记录 seed；step 0 也未记录。论文给出 checkpoint 哈希，但冻结时没有已验证的外部匿名 URL。	该权重 draw 是主要处理变量。若 checkpoint 不可获得，其他研究者无法构造同一处理；即使可获得，也不能验证从初始化代码到权重的确定性生成链。	发布主 checkpoint，并记录生成权重的 RNG 算法、所有库版本、seed、初始化例程与初始化后哈希；补充从空环境重建的端到端清单。	第三方按所给 seed/环境生成的 step-0 state dict 应与发布哈希逐字节一致，并能复现至少一个训练 endpoint。	可下载 checkpoint、weight seed、初始化代码、环境锁文件和逐阶段哈希。	high	high
A10	R3	A10-I4	major	technical_soundness,reproducibility,limitations_responsible_claims	第 7--8 页第 4.3 节与表 9	drift 的 scalar/top-k 重算门要求 1% 容差，但实际总量相差 12.6%--18.1%，random-init 个别单元达到 56.8%。作者因此不报告漂移效应，只保留两个序列化一致性检查。	失败幅度显示 drift 字段定义、索引或聚合链可能有系统性错误；任何把 entropy/argmax 轨迹解释成低置信层导致漂移的叙述均没有可审计数值基础。	定位差异来源，以逐 token/step 的手工小例验证定义，修复后从原始 logits/ids 重新计算并在独立实现间达到预定容差；在此之前删除所有机制暗示。	预注册的随机样本与边界案例上，两个独立实现的 drift count/率均在 1% 以内且逐事件差异可解释。	原始事件字段、重算代码、最小 worked example、逐事件 diff 和修复后 gate 报告。	medium	high
A10	R3	A10-I5	major	experimental_rigor,technical_soundness,clarity	第 5、7--8 页第 3.3/4.4 节、表 10	AUROC 以当前 argmax 是否不同于最终 token 为标签，32 条 trajectory 产生 260,064 个高度相关的 masked 行；区间按 trajectory bootstrap。所谓 calibration multiple 是 real/null95 的置换比值，不是 AUROC 或标准显著性量，random-init 原始 AUROC 约 0.458。	单 prompt、32 trajectory 无法支持 prompt-level 外推，且逐行大样本会给出看似很窄的区间。低于 0.5 的 orientation 也没有由独立任务效用验证，非标准比值很难解释。	把 trajectory/prompt 设为明确抽样单位，在多提示多种子上重复；预先定义方向与假设检验，报告标准置换 p 值/效应，并用 held-out 外部结果验证 entropy 的用途。	按 prompt 与 trajectory 两层 bootstrap 后效应方向稳定，且 held-out 质量/错误标签上的预测性能超过预定基线；置换程序的 I 类错误用模拟校准。	多提示逐 trajectory 数据、预注册统计量、置换零分布和 held-out 验证结果。	medium	high
A14	R1	A14-I1	major	novelty,significance	PDF pp.2–3，§2 Related Work and Local Evidence Context；PDF pp.9–10，§7–§8	论文比较的评分、随机 mask、固定/随机/置信度 reveal 和 paired accuracy 工具均来自或紧邻既有实践；新增证据集中在单一 LLaDA-8B/GSM8K-MC 床。结论也只声称 bed-local non-interchangeability，没有提出新 decoder、评分器或一般理论。	协议实现细节会改变结果是重要警示，但仅证明一个自定义多选床上的差异，尚不足以说明该问题在主流评测、其他 dLLM 或实际生成任务中具有广泛影响。	与最接近的公开 dLLM scoring/reveal 方法做直接同床比较，并在至少另一个模型、任务和选项构造上预注册复现；清楚界定相对于既有协议敏感性研究新增的可迁移命题。	冻结统一 item/prompt/judge 后，在多个模型与选择题/自由生成任务上重复 factorial protocol matrix，检验效应方向、量级和 rank disagreement 是否保持。	强最近基线、跨模型/任务复现和明确的新颖性差异表。	high	high
